index,name,district,official,cov,cov_centres,bM,jM,bF,jF,adv,belt,jam_won,men_lead,women_lead,both_lead
174,Dhaka-1,Dhaka,BNP,13.9,15.2,55.59622850804215,37.96450360510261,51.82771323321054,44.1154245773118,6.150920972209192,False,False,BNP,BNP,BNP
175,Dhaka-2,Dhaka,BNP,39.5,41.1,62.4140884913441,34.44229734844712,64.3860748165384,33.19760157508502,-1.2446957733621034,False,False,BNP,BNP,BNP
176,Dhaka-3,Dhaka,BNP,68.4,70.6,49.42366672965391,45.46564530430106,51.856572058418294,44.00144667952604,-1.4641986247750225,False,False,BNP,BNP,BNP
177,Dhaka-4,Dhaka,Jamaat,83.0,83.5,46.53121424731553,46.995740692240894,46.20606100839778,47.8275301224815,0.8317894302406046,False,True,Jamaat,Jamaat,Jamaat
178,Dhaka-5,Dhaka,Jamaat,82.5,82.7,43.39640130229756,47.376287525055325,43.253003960528964,48.91588910518897,1.5396015801336418,False,True,Jamaat,Jamaat,Jamaat
179,Dhaka-6,Dhaka,BNP,68.9,70.0,56.94064818430301,41.1265130808278,57.20663111411404,40.98839313723124,-0.138119943596557,False,False,BNP,BNP,BNP
180,Dhaka-7,Dhaka,BNP,76.3,75.6,45.41870694663458,44.35534069217363,47.35051842137617,43.421717689165746,-0.9336230030078809,False,False,BNP,BNP,BNP
181,Dhaka-8,Dhaka,BNP,74.9,71.3,51.142604837493806,0.0,47.32599188576848,0.0,0.0,False,False,BNP,BNP,BNP
182,Dhaka-9,Dhaka,BNP,86.0,87.6,51.94075373945015,0.0,47.85343274089255,0.0,0.0,False,False,BNP,BNP,BNP
183,Dhaka-10,Dhaka,BNP,72.4,74.3,48.04548045480455,47.1649716497165,50.237894778062774,44.46380670804535,-2.701164941671152,False,False,BNP,BNP,BNP
184,Dhaka-11,Dhaka,NCP,89.8,90.7,47.365281799351486,0.0,47.653616800622245,0.0,0.0,False,False,BNP,BNP,BNP
185,Dhaka-12,Dhaka,Other,94.8,94.6,0.0,44.7422908533405,0.0,41.957445119288636,-2.7848457340518635,False,False,Jamaat,Jamaat,Jamaat
186,Dhaka-13,Dhaka,BNP,94.2,93.5,47.369302200991115,0.0,52.33227007620751,0.0,0.0,False,False,BNP,BNP,BNP
